DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	3p21.2	3	50744939		DOCK3			ENSG00000088538			rs77291286-A	rs77291286	0	77291286	intron_variant	0	NR	3E-7	6.522878745280337		0.86	[0.81-0.91]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	3p21.1	3	53556438		CACNA1D			ENSG00000157388			rs9814480-T	rs9814480	0	9814480	intron_variant	0	NR	1E-9	9.0		1.15	[1.1-1.21]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	3p13	3	72363792		LINC00877 - RYBP	ENSG00000241163	ENSG00000163602		84289	8033	rs4677152-G	rs4677152	0	4677152	intergenic_variant	1	NR	7E-6	5.154901959985743		1.08	[1.05-1.12]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	6p21.32	6	32700169		HLA-DQB1 - MTCO3P1	ENSG00000179344	ENSG00000235040		31786	5955	rs3135190-G	rs3135190	0	3135190	intergenic_variant	1	NR	1E-7	7.0		0.89	[0.85-0.93]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	6q22.32	6	126707021		RPS4XP9 - RSPO3	ENSG00000217404	ENSG00000146374		23174	411650	rs853963-A	rs853963	0	853963	intron_variant	1	NR	4E-10	9.397940008672037		1.09	[1.06-1.13]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	7p15.2	7	27212157		HOTTIP - EVX1-AS	ENSG00000243766	ENSG00000253405		4898	29272	rs10248288-G	rs10248288	0	10248288	intron_variant	1	NR	1E-6	6.0		1.08	[1.04-1.11]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	7q21.11	7	82299018		CACNA2D1			ENSG00000153956			rs6969265-G	rs6969265	0	6969265	intron_variant	0	NR	9E-6	5.045757490560675		0.93	[0.9-0.96]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	7q36.1	7	151166483		GBX1			ENSG00000164900			rs542752918-A	rs542752918	0	542752918	intron_variant	0	NR	7E-6	5.154901959985743		0.88	[0.83-0.94]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	8q24.3	8	142824070		LY6D - GML	ENSG00000167656	ENSG00000104499		37531	10177	rs2717593-T	rs2717593	0	2717593	regulatory_region_variant	1	NR	5E-8	7.301029995663981		0.91	[0.89-0.95]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	9p24.1	9	7374808		KDM4C - RPL4P5	ENSG00000107077	ENSG00000230207		199160	102237	rs4740885-A	rs4740885	0	4740885	intergenic_variant	1	NR	9E-6	5.045757490560675		1.1	[1.05-1.15]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	9q34.13	9	133087078		CELP			ENSG00000170827			rs10901234-C	rs10901234	0	10901234	non_coding_transcript_exon_variant	0	NR	8E-6	5.096910013008056		1.08	[1.04-1.13]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	10q24.32	10	103005737		CNNM2			ENSG00000148842			rs11191502-G	rs11191502	0	11191502	intron_variant	0	NR	9E-6	5.045757490560675		0.92	[0.88-0.95]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	11p15.5	11	1892909		LSP1 - LINC01150	ENSG00000130592	ENSG00000229671		642	4106	rs576603-T	rs576603	0	576603	intergenic_variant	1	NR	2E-6	5.698970004336019		1.09	[1.05-1.13]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	12p13.1	12	12650142		CREBL2 - GPR19	ENSG00000111269	ENSG00000183150		5034	10748	rs35229871-A	rs35229871	0	35229871	intergenic_variant	1	NR	9E-8	7.045757490560675		0.92	[0.89-0.95]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	12q21.1	12	72039967		TPH2			ENSG00000139287			rs60406413-A	rs60406413	0	60406413	intron_variant	0	NR	1E-6	6.0		0.89	[0.85-0.93]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	12q21.33	12	89576143		POC1B-AS1 - ATP2B1	ENSG00000270344	ENSG00000070961		28138	11906	rs10689649-AACTC	rs10689649	0	10689649	intron_variant	1	NR	5E-8	7.301029995663981		0.92	[0.89-0.95]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	12q24.21	12	115118062		TBX3-AS1 - UBA52P7	ENSG00000257817	ENSG00000241656		350073	474542	rs35429-G	rs35429	0	35429	intergenic_variant	1	NR	4E-7	6.3979400086720375		0.91	[0.88-0.94]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	13q14.2	13	49635215		ARL11 - EBPL	ENSG00000152213	ENSG00000123179		1343	25459	rs9568292-C	rs9568292	0	9568292	intergenic_variant	1	NR	5E-7	6.301029995663981		0.9	[0.86-0.94]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	13q22.2	13	76680454		RN7SL571P - KCTD12	ENSG00000243274	ENSG00000178695		545229	199721	rs9565286-C	rs9565286	0	9565286	intron_variant	1	NR	5E-6	5.301029995663981		0.91	[0.88-0.95]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-09-21	37151119	Yamazaki K	2023-05-07	Clin Pharmacol Ther	www.ncbi.nlm.nih.gov/pubmed/37151119	Genome-wide association studies categorized by class of anti-hypertensive drugs reveal complex pathogenesis of hypertension with drug resistance.	Resistance to antihypertensive treatment in hypertension	12,132 cases, 19,857 controls	NA	14q11.2	14	20758103		EDDM3A - EDDM3B	ENSG00000181562	ENSG00000181552		9723	10301	rs970435-C	rs970435	0	970435	regulatory_region_variant	1	NR	4E-6	5.3979400086720375		0.89	[0.85-0.94]	Illumina [6318624] (imputed)	N	treatment-resistant hypertension	http://www.ebi.ac.uk/efo/EFO_1002006	GCST90281355	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	1p36.22	1	11805747		MTHFR			ENSG00000177000			rs13306561-G	rs13306561	0	13306561	5_prime_UTR_variant	0	0.14	7E-12	11.154901959985743		0.88	[0.84-0.91]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	3q26.2	3	169422102		MECOM			ENSG00000085276			rs1918969-C	rs1918969	0	1918969	intron_variant	0	0.47	1E-8	8.0		0.93	[0.9-0.95]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	4q21.21	4	80263187		PRDM8 - FGF5	ENSG00000152784	ENSG00000138675		58858	3452	rs16998073-T	rs16998073	0	16998073	intergenic_variant	1	0.33	6E-19	18.221848749616356		1.14	[1.11-1.17]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	5p13.3	5	32831833		NPR3 - LINC02120	ENSG00000113389	ENSG00000248279		40109	115610	rs12656497-C	rs12656497	0	12656497	regulatory_region_variant	1	0.58	3E-12	11.522878745280337		1.1	[1.07-1.13]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	10q23.33	10	94133031		PLCE1			ENSG00000138193			rs10882398-A	rs10882398	0	10882398	intron_variant	0	0.59	2E-13	12.698970004336019		1.11	[1.08-1.14]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	12p13.31	12	9318619		DDX12B - LINC02367	ENSG00000111788	ENSG00000260423		5378	28437	rs10843404-C	rs10843404	0	10843404	intergenic_variant	1	0.47	3E-8	7.522878745280337		1.08	[1.05-1.11]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	12q13.13	12	53063801		TNS2			ENSG00000111077			rs117928258-T	rs117928258	0	117928258	synonymous_variant	0	0.02	3E-14	13.522878745280337		1.45	[1.32-1.6]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	15q26.1	15	90880313		FURIN			ENSG00000140564			rs6224-T	rs6224	0	6224	intron_variant	0	0.42	2E-10	9.698970004336019		1.09	[1.06-1.12]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
2023-07-17	37285119	Tyrmi JS	2023-06-07	JAMA Cardiol	www.ncbi.nlm.nih.gov/pubmed/37285119	Genetic Risk Factors Associated With Preeclampsia and Hypertensive Disorders of Pregnancy.	Preeclampsia or other maternal hypertension (maternal genotype effect)	15,200 European ancestry cases, 115,007 European ancestry controls	NA	16q12.2	16	53788258		FTO			ENSG00000140718			rs113935429-A	rs113935429	0	113935429	intron_variant	0	0.38	1E-10	10.0		1.1	[1.07-1.13]	Affymetrix, Illumina [14417327] (imputed)	N	preeclampsia, hypertension, pregnancy-induced	http://www.ebi.ac.uk/efo/EFO_0000668, http://purl.obolibrary.org/obo/MONDO_0024664	GCST90269904	Genome-wide genotyping array
